m, 455, 1, 1480488673239, 
m, 448, 42, 1480488673247, 
m, 446, 58, 1480488673251, 
m, 444, 75, 1480488673258, 
m, 442, 94, 1480488673266, 
m, 441, 124, 1480488673274, 
m, 441, 146, 1480488673285, 
m, 441, 167, 1480488673314, 
m, 441, 527, 1480488674170, 
m, 441, 528, 1480488674817, 
m, 441, 525, 1480488674824, 
m, 441, 520, 1480488674833, 
m, 441, 510, 1480488674841, 
m, 441, 498, 1480488674848, 
m, 441, 483, 1480488674860, 
m, 441, 468, 1480488674865, 
m, 442, 449, 1480488674873, 
m, 443, 430, 1480488674881, 
m, 444, 412, 1480488674888, 
m, 444, 393, 1480488674896, 
m, 444, 386, 1480488674904, 
m, 444, 372, 1480488674912, 
m, 444, 361, 1480488674922, 
m, 390, 367, 1480488878267, 
m, 383, 370, 1480488878275, 
m, 370, 377, 1480488878278, 
m, 358, 384, 1480488878281, 
m, 346, 391, 1480488878292, 
m, 337, 397, 1480488878298, 
m, 327, 403, 1480488878306, 
m, 318, 411, 1480488878314, 
m, 310, 417, 1480488878323, 
m, 306, 417, 1480488878561, 
m, 300, 417, 1480488878569, 
m, 293, 419, 1480488878582, 
m, 285, 420, 1480488878584, 
m, 277, 422, 1480488878590, 
m, 261, 426, 1480488878598, 
m, 242, 431, 1480488878613, 
m, 222, 436, 1480488878615, 
m, 203, 441, 1480488878622, 
m, 183, 446, 1480488878630, 
m, 174, 448, 1480488878639, 
m, 156, 452, 1480488878647, 
m, 141, 455, 1480488878655, 
m, 135, 456, 1480488878662, 
m, 124, 458, 1480488878671, 
m, 115, 459, 1480488878680, 
m, 108, 460, 1480488878688, 
m, 107, 461, 1480488878695, 
m, 102, 462, 1480488878704, 
m, 100, 463, 1480488878712, 
m, 99, 463, 1480488878719, 
m, 98, 464, 1480488878731, 
m, 97, 464, 1480488878735, 
m, 97, 465, 1480488878752, 
m, 97, 466, 1480488878808, 
m, 97, 467, 1480488878824, 
m, 97, 468, 1480488878848, 
m, 97, 469, 1480488878880, 
m, 97, 471, 1480488878896, 
m, 97, 472, 1480488878904, 
m, 97, 473, 1480488878912, 
m, 96, 475, 1480488878920, 
m, 96, 477, 1480488878927, 
m, 94, 479, 1480488878936, 
m, 93, 481, 1480488878948, 
m, 92, 483, 1480488878951, 
m, 92, 484, 1480488878961, 
m, 90, 485, 1480488878968, 
m, 89, 487, 1480488878978, 
m, 88, 488, 1480488878984, 
m, 87, 489, 1480488878994, 
m, 86, 489, 1480488879000, 
m, 85, 490, 1480488879011, 
m, 84, 491, 1480488879027, 
m, 83, 491, 1480488879031, 
m, 83, 492, 1480488879039, 
m, 82, 493, 1480488879047, 
m, 81, 494, 1480488879063, 
m, 81, 495, 1480488879079, 
m, 80, 495, 1480488879088, 
m, 80, 496, 1480488879096, 
m, 80, 497, 1480488879152, 
m, 79, 497, 1480488879168, 
m, 79, 498, 1480488879177, 
m, 79, 499, 1480488879194, 
m, 78, 499, 1480488879200, 
m, 78, 500, 1480488879211, 
m, 78, 501, 1480488879227, 
m, 77, 502, 1480488879232, 
m, 77, 503, 1480488879257, 
m, 77, 504, 1480488879312, 
m, 76, 504, 1480488879320, 
md, 76, 504, 1480488879473, 
mu, 76, 504, 1480488879593, 
c, 76, 504, 1480488879640, 
m, 77, 502, 1480488881241, 
m, 79, 498, 1480488881243, 
m, 81, 496, 1480488881250, 
m, 82, 495, 1480488881263, 
m, 83, 493, 1480488881266, 
m, 85, 491, 1480488881276, 
m, 87, 489, 1480488881282, 
m, 89, 488, 1480488881290, 
m, 91, 486, 1480488881298, 
m, 93, 484, 1480488881308, 
m, 96, 483, 1480488881314, 
m, 99, 482, 1480488881322, 
m, 102, 481, 1480488881330, 
m, 106, 480, 1480488881338, 
m, 111, 479, 1480488881347, 
m, 116, 479, 1480488881354, 
m, 125, 479, 1480488881362, 
m, 133, 479, 1480488881369, 
m, 140, 479, 1480488881378, 
m, 156, 481, 1480488881386, 
m, 167, 485, 1480488881497, 
m, 327, 600, 1480488881498, 
m, 337, 609, 1480488881501, 
m, 346, 619, 1480488881509, 
m, 355, 628, 1480488881515, 
m, 363, 638, 1480488881522, 
m, 369, 647, 1480488881532, 
m, 375, 655, 1480488881541, 
m, 382, 665, 1480488881562, 
m, 382, 668, 1480488881567, 
m, 384, 671, 1480488881572, 
m, 386, 676, 1480488881579, 
m, 386, 316, 1480488882958, 
m, 386, 315, 1480488884330, 
m, 386, 314, 1480488884338, 
m, 386, 313, 1480488884348, 
m, 386, 312, 1480488884358, 
m, 387, 311, 1480488884364, 
m, 388, 309, 1480488884370, 
m, 389, 308, 1480488884379, 
m, 391, 306, 1480488884386, 
m, 393, 304, 1480488884397, 
m, 396, 302, 1480488884402, 
m, 398, 300, 1480488884412, 
m, 401, 298, 1480488884418, 
m, 403, 296, 1480488884428, 
m, 406, 294, 1480488884434, 
m, 421, 290, 1480488884488, 
m, 424, 290, 1480488884489, 
m, 428, 290, 1480488884491, 
m, 431, 290, 1480488884498, 
m, 434, 290, 1480488884511, 
